Country_Hide,Number of Records,Area,Country,countrycode,Consumption Segment,Level,pce_lcu,pce_ppp,pce_usd,"Sector Category or Product",Region
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"60,843.37",139.37,122.85,Meat and fish,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"49,919.25",114.35,100.79,Fruits and vegetables,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"7,003.72",16.04,14.14,Caterig,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"2,331.85",5.34,4.71,Alcohol beverages,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"1,334.53",3.06,2.69,Non-Alcohol beverages,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"18,920.56",43.34,38.20,Other food,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"10,874.04",24.91,21.96,Clothes,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"2,592.40",5.94,5.23,Footwear,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"46,853.29",107.32,94.60,Housing,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"2,392.21",5.48,4.83,Electricity,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,134.88,0.31,0.27,Gas,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"11,193.00",25.64,22.60,"Other sources (coal firewood etc.)",Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"14,642.86",33.54,29.56,Vehicles and other transport services,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,409.48,0.94,0.83,Fuel,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"4,825.43",11.05,9.74,Pharmaceutical products,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"7,882.30",18.06,15.91,Medical goods and services,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"5,904.55",13.53,11.92,Education,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"5,943.33",13.61,12.00,Telephone equipment and services,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"1,612.40",3.69,3.26,Other ICT goods and services,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,126.06,0.29,0.25,Financial Services,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"4,129.93",9.46,8.34,Water utilities,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"6,870.83",15.74,13.87,"Appliances articles and products for personal care",Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"20,645.01",47.29,41.68,Other,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"65,150.15",768.40,782.50,All categories,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"14,852.34",175.17,178.39,Grains,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"3,943.32",46.51,47.36,Dairy,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"6,462.88",76.22,77.62,Meat and fish,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"5,717.31",67.43,68.67,Fruits and vegetables,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,143.67,1.69,1.73,Caterig,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,236.00,2.78,2.83,Alcohol beverages,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"2,450.72",28.90,29.43,Non-Alcohol beverages,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"7,171.72",84.59,86.14,Other food,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"1,003.13",11.83,12.05,Clothes,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,563.11,6.64,6.76,Footwear,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"7,830.24",92.35,94.05,Housing,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"1,242.17",14.65,14.92,Electricity,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"1,060.21",12.50,12.73,Gas,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,264.19,3.12,3.17,"Other sources (coal firewood etc.)",Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"1,265.41",14.92,15.20,Vehicles and other transport services,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,23.46,0.28,0.28,Fuel,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,685.03,8.08,8.23,Pharmaceutical products,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,281.97,3.33,3.39,Medical goods and services,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,621.13,7.33,7.46,Education,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"1,498.68",17.68,18.00,Telephone equipment and services,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,335.55,3.96,4.03,Other ICT goods and services,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,26.95,0.32,0.32,Financial Services,Sub-Saharan Africa
Republic of Cabo Verde,1,National,Republic of Cabo Verde,CPV,Lowest,National,"1,240.54",14.63,14.90,Water utilities,Sub-Saharan Africa
